scrape_date,source_site,query_occupation,prefecture,job_title,company_name,location,work_prefecture,city_ward,oaza_town,chome,ban,go,wage_text,wage_type,wage_min,wage_max,wage_unit,employment_type,posted_date_text,job_url,search_url,is_excluded_fulltime,is_disaster_related,notes
2026-08-14,求人ボックス,土木作業員,東京都,建設現場の土木作業員／土工・雑工・多能工,株式会社林間,葛西営業所：東京都江戸川区東葛西4-36-5 ※関東圏内の各工事現場へ送迎します。 ※営業所までの通勤は自転車・バイク・車OK,東京都,江戸川区,東葛西,4,36,5,"日給12,000円",日給,12000,12000,day,アルバイト／パート／契約社員,,https://xn--pckua2a7gp15o89zb.com/jb/b15ab30ddf0596e7fe497a9afc3c8263?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=referral,"https://xn--pckua2a7gp15o89zb.com/%E5%9C%9F%E6%9C%A8%E4%BD%9C%E6%A5%AD%E5%93%A1の仕事-%E6%9D%B1%E4%BA%AC%E9%83%BD?e=5,3,4&q=not%3A%E5%93%81%E5%87%BA%E3%81%97%20not%3A%E3%83%AC%E3%82%B8%20not%3A%E8%B2%A9%E5%A3%B2%20not%3A%E6%8E%A5%E5%AE%A2%20not%3A%E5%A3%B2%E5%A0%B4%20not%3A%E5%A3%B2%E3%82%8A%E5%A0%B4%20not%3A%E5%BA%97%E8%88%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%20not%3A%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%20not%3A%E8%B2%A9%E5%A3%B2%E5%93%A1%20not%3A%E5%95%86%E5%93%81%E7%AE%A1%E7%90%86%20not%3A%E3%83%89%E3%83%A9%E3%83%83%E3%82%B0%E3%82%B9%E3%83%88%E3%82%A2%20not%3A%E3%83%9B%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20not%3A%E5%96%B6%E6%A5%AD%20not%3A%E3%83%AB%E3%83%BC%E3%83%88%E5%96%B6%E6%A5%AD%20not%3A%E6%8F%90%E6%A1%88%E5%96%B6%E6%A5%AD%20not%3A%E5%8F%8D%E9%9F%BF%E5%96%B6%E6%A5%AD%20not%3A%E4%B8%8D%E5%8B%95%E7%94%A3%E5%96%B6%E6%A5%AD%20not%3A%E4%BD%8F%E5%AE%85%E5%96%B6%E6%A5%AD%20not%3A%E4%BA%8B%E5%8B%99%20not%3A%E4%B8%80%E8%88%AC%E4%BA%8B%E5%8B%99%20not%3A%E5%96%B6%E6%A5%AD%E4%BA%8B%E5%8B%99%20not%3A%E5%8F%97%E4%BB%98%20not%3A%E7%B5%8C%E7%90%86%20not%3A%E7%B7%8F%E5%8B%99%20not%3A%E4%BA%BA%E4%BA%8B%20not%3A%E6%96%BD%E5%B7%A5%E7%AE%A1%E7%90%86%20not%3A%E7%8F%BE%E5%A0%B4%E7%9B%A3%E7%9D%A3%20not%3A%E5%BB%BA%E7%AF%89%E5%A3%AB%20not%3A%E8%A8%AD%E8%A8%88%20not%3ACAD%20not%3A%E7%A9%8D%E7%AE%97%20not%3A%E5%B7%A5%E7%A8%8B%E7%AE%A1%E7%90%86%20not%3A%E5%93%81%E8%B3%AA%E7%AE%A1%E7%90%86%20not%3A%E3%83%89%E3%83%A9%E3%82%A4%E3%83%90%E3%83%BC%20not%3A%E9%85%8D%E9%80%81%20not%3A%E9%85%8D%E9%81%94%20not%3A%E9%81%8B%E8%BB%A2%E6%89%8B%20not%3A%E5%80%89%E5%BA%AB%20not%3A%E7%89%A9%E6%B5%81%20not%3A%E3%83%95%E3%82%A9%E3%83%BC%E3%82%AF%E3%83%AA%E3%83%95%E3%83%88%20not%3A%E3%83%94%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0%20not%3A%E8%A3%BD%E9%80%A0%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%BC%E3%82%BF%E3%83%BC%20not%3A%E5%B7%A5%E5%A0%B4%E4%BD%9C%E6%A5%AD%20not%3A%E3%83%A9%E3%82%A4%E3%83%B3%E4%BD%9C%E6%A5%AD%20not%3A%E6%A4%9C%E6%9F%BB%E5%93%A1%20not%3A%E7%B5%84%E7%AB%8B%E5%B7%A5%20not%3A%E8%AD%A6%E5%82%99%20not%3A%E6%B8%85%E6%8E%83%20not%3A%E4%BB%8B%E8%AD%B7%20not%3A%E7%9C%8B%E8%AD%B7%20not%3A%E4%BF%9D%E8%82%B2",false,false,
2026-08-14,求人ボックス,土木作業員,東京都,建設現場の土木作業員／土工・雑工・多能工,株式会社リンカン開発,東京都 多摩市,東京都,多摩市,,,,,"日給1万1,000円",日給,11000,11000,day,アルバイト・パート / 契約社員,,https://xn--pckua2a7gp15o89zb.com/jb/26f2857bedd801b4ff2b31170b3e7166?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=referral,"https://xn--pckua2a7gp15o89zb.com/%E5%9C%9F%E6%9C%A8%E4%BD%9C%E6%A5%AD%E5%93%A1の仕事-%E6%9D%B1%E4%BA%AC%E9%83%BD?e=5,3,4&q=not%3A%E5%93%81%E5%87%BA%E3%81%97%20not%3A%E3%83%AC%E3%82%B8%20not%3A%E8%B2%A9%E5%A3%B2%20not%3A%E6%8E%A5%E5%AE%A2%20not%3A%E5%A3%B2%E5%A0%B4%20not%3A%E5%A3%B2%E3%82%8A%E5%A0%B4%20not%3A%E5%BA%97%E8%88%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%20not%3A%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%20not%3A%E8%B2%A9%E5%A3%B2%E5%93%A1%20not%3A%E5%95%86%E5%93%81%E7%AE%A1%E7%90%86%20not%3A%E3%83%89%E3%83%A9%E3%83%83%E3%82%B0%E3%82%B9%E3%83%88%E3%82%A2%20not%3A%E3%83%9B%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20not%3A%E5%96%B6%E6%A5%AD%20not%3A%E3%83%AB%E3%83%BC%E3%83%88%E5%96%B6%E6%A5%AD%20not%3A%E6%8F%90%E6%A1%88%E5%96%B6%E6%A5%AD%20not%3A%E5%8F%8D%E9%9F%BF%E5%96%B6%E6%A5%AD%20not%3A%E4%B8%8D%E5%8B%95%E7%94%A3%E5%96%B6%E6%A5%AD%20not%3A%E4%BD%8F%E5%AE%85%E5%96%B6%E6%A5%AD%20not%3A%E4%BA%8B%E5%8B%99%20not%3A%E4%B8%80%E8%88%AC%E4%BA%8B%E5%8B%99%20not%3A%E5%96%B6%E6%A5%AD%E4%BA%8B%E5%8B%99%20not%3A%E5%8F%97%E4%BB%98%20not%3A%E7%B5%8C%E7%90%86%20not%3A%E7%B7%8F%E5%8B%99%20not%3A%E4%BA%BA%E4%BA%8B%20not%3A%E6%96%BD%E5%B7%A5%E7%AE%A1%E7%90%86%20not%3A%E7%8F%BE%E5%A0%B4%E7%9B%A3%E7%9D%A3%20not%3A%E5%BB%BA%E7%AF%89%E5%A3%AB%20not%3A%E8%A8%AD%E8%A8%88%20not%3ACAD%20not%3A%E7%A9%8D%E7%AE%97%20not%3A%E5%B7%A5%E7%A8%8B%E7%AE%A1%E7%90%86%20not%3A%E5%93%81%E8%B3%AA%E7%AE%A1%E7%90%86%20not%3A%E3%83%89%E3%83%A9%E3%82%A4%E3%83%90%E3%83%BC%20not%3A%E9%85%8D%E9%80%81%20not%3A%E9%85%8D%E9%81%94%20not%3A%E9%81%8B%E8%BB%A2%E6%89%8B%20not%3A%E5%80%89%E5%BA%AB%20not%3A%E7%89%A9%E6%B5%81%20not%3A%E3%83%95%E3%82%A9%E3%83%BC%E3%82%AF%E3%83%AA%E3%83%95%E3%83%88%20not%3A%E3%83%94%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0%20not%3A%E8%A3%BD%E9%80%A0%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%BC%E3%82%BF%E3%83%BC%20not%3A%E5%B7%A5%E5%A0%B4%E4%BD%9C%E6%A5%AD%20not%3A%E3%83%A9%E3%82%A4%E3%83%B3%E4%BD%9C%E6%A5%AD%20not%3A%E6%A4%9C%E6%9F%BB%E5%93%A1%20not%3A%E7%B5%84%E7%AB%8B%E5%B7%A5%20not%3A%E8%AD%A6%E5%82%99%20not%3A%E6%B8%85%E6%8E%83%20not%3A%E4%BB%8B%E8%AD%B7%20not%3A%E7%9C%8B%E8%AD%B7%20not%3A%E4%BF%9D%E8%82%B2",false,false,
2026-08-14,求人ボックス,土木作業員,東京都,土木作業員,大光建設,東京都 中野区 野方駅 徒歩5分,東京都,中野区,野方,,,,"日給9,000円～1万1,000円",日給,9000,11000,day,契約社員,,https://xn--pckua2a7gp15o89zb.com/jb/a8840f29bef97151cec8db7832a798a2,"https://xn--pckua2a7gp15o89zb.com/%E5%9C%9F%E6%9C%A8%E4%BD%9C%E6%A5%AD%E5%93%A1の仕事-%E6%9D%B1%E4%BA%AC%E9%83%BD?e=5,3,4&q=not%3A%E5%93%81%E5%87%BA%E3%81%97%20not%3A%E3%83%AC%E3%82%B8%20not%3A%E8%B2%A9%E5%A3%B2%20not%3A%E6%8E%A5%E5%AE%A2%20not%3A%E5%A3%B2%E5%A0%B4%20not%3A%E5%A3%B2%E3%82%8A%E5%A0%B4%20not%3A%E5%BA%97%E8%88%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%20not%3A%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%20not%3A%E8%B2%A9%E5%A3%B2%E5%93%A1%20not%3A%E5%95%86%E5%93%81%E7%AE%A1%E7%90%86%20not%3A%E3%83%89%E3%83%A9%E3%83%83%E3%82%B0%E3%82%B9%E3%83%88%E3%82%A2%20not%3A%E3%83%9B%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20not%3A%E5%96%B6%E6%A5%AD%20not%3A%E3%83%AB%E3%83%BC%E3%83%88%E5%96%B6%E6%A5%AD%20not%3A%E6%8F%90%E6%A1%88%E5%96%B6%E6%A5%AD%20not%3A%E5%8F%8D%E9%9F%BF%E5%96%B6%E6%A5%AD%20not%3A%E4%B8%8D%E5%8B%95%E7%94%A3%E5%96%B6%E6%A5%AD%20not%3A%E4%BD%8F%E5%AE%85%E5%96%B6%E6%A5%AD%20not%3A%E4%BA%8B%E5%8B%99%20not%3A%E4%B8%80%E8%88%AC%E4%BA%8B%E5%8B%99%20not%3A%E5%96%B6%E6%A5%AD%E4%BA%8B%E5%8B%99%20not%3A%E5%8F%97%E4%BB%98%20not%3A%E7%B5%8C%E7%90%86%20not%3A%E7%B7%8F%E5%8B%99%20not%3A%E4%BA%BA%E4%BA%8B%20not%3A%E6%96%BD%E5%B7%A5%E7%AE%A1%E7%90%86%20not%3A%E7%8F%BE%E5%A0%B4%E7%9B%A3%E7%9D%A3%20not%3A%E5%BB%BA%E7%AF%89%E5%A3%AB%20not%3A%E8%A8%AD%E8%A8%88%20not%3ACAD%20not%3A%E7%A9%8D%E7%AE%97%20not%3A%E5%B7%A5%E7%A8%8B%E7%AE%A1%E7%90%86%20not%3A%E5%93%81%E8%B3%AA%E7%AE%A1%E7%90%86%20not%3A%E3%83%89%E3%83%A9%E3%82%A4%E3%83%90%E3%83%BC%20not%3A%E9%85%8D%E9%80%81%20not%3A%E9%85%8D%E9%81%94%20not%3A%E9%81%8B%E8%BB%A2%E6%89%8B%20not%3A%E5%80%89%E5%BA%AB%20not%3A%E7%89%A9%E6%B5%81%20not%3A%E3%83%95%E3%82%A9%E3%83%BC%E3%82%AF%E3%83%AA%E3%83%95%E3%83%88%20not%3A%E3%83%94%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0%20not%3A%E8%A3%BD%E9%80%A0%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%BC%E3%82%BF%E3%83%BC%20not%3A%E5%B7%A5%E5%A0%B4%E4%BD%9C%E6%A5%AD%20not%3A%E3%83%A9%E3%82%A4%E3%83%B3%E4%BD%9C%E6%A5%AD%20not%3A%E6%A4%9C%E6%9F%BB%E5%93%A1%20not%3A%E7%B5%84%E7%AB%8B%E5%B7%A5%20not%3A%E8%AD%A6%E5%82%99%20not%3A%E6%B8%85%E6%8E%83%20not%3A%E4%BB%8B%E8%AD%B7%20not%3A%E7%9C%8B%E8%AD%B7%20not%3A%E4%BF%9D%E8%82%B2",false,false,
